"string";"# total labels";"total labels";"# unique labels";"unique labels"
"(a) A coronal magnetic resonance imaging (MRI) scan, at the level on which the superior temporal sulcus region was measured.
The area outlined represents the portion of the scan used to orient the operator to the landmarks of the banks of the superior
temporal sulcus. A box has been placed over the region of interest in one hemisphere. (The apparent asymmetry of the angle of the
left sylvian fissure is the result of the angle of cut). (b) A diagram of the superior temporal sulcus (sts) region and adjoining temporal
lobe areas, including the collateral trigone (ct), the sylvian fissure (sf ), and the hippocampus (H). (c) The region of the banks
of the superior temporal sulcus measured in the present study, as delineated on the MRI scan of a control subject. The gray matter of
the upper and lower banks of the superior temporal sulcus was measured on three consecutive normalized coronal slices centered on the
level of the rostral tip of the collateral trigone. The outline of the region began at the medial most point of the lower bank of the
sulcus and continued along the edge of the white matter. The profile of the sulcus was then projected across the gray matter to
the surface of the brain. The outline then continued along the edge of the brain to the depth of the sulcus. This process was then
repeated for the upper bank of the sulcus.";"102";"brain, brain, and, and, and, and, angle, angle, study, area, as, asymmetry, at, at, bank, bank, process, scan, scan, scan, box, white matter, gray matter, gray matter, collateral, collateral, temporal sulcus, temporal sulcus, temporal sulcus, temporal sulcus, temporal sulcus, region, region, region, region, region, consecutive, magnetic resonance imaging, control, cut, depth, diagram, white, fissure, fissure, for, gray, gray, gray, gray, surface, hippocampus, interest, subject, left, level, level, lobe, operator, lower, lower, lower, lower, measured, measured, measured, medial, most, one, operator, over, point, present, profile, rostral, superior, superior, superior, superior, superior, superior temporal sulcus, superior temporal sulcus, superior temporal sulcus, superior temporal sulcus, temporal, temporal, temporal, temporal, temporal, temporal, then, then, then, three, tip, to, to, to, to, upper, upper, white";"57";"brain, and, angle, study, area, as, asymmetry, at, bank, process, scan, box, white matter, gray matter, collateral, temporal sulcus, region, consecutive, magnetic resonance imaging, control, cut, depth, diagram, white, fissure, for, gray, gray, surface, hippocampus, interest, subject, left, level, lobe, operator, lower, lower, measured, medial, most, one, operator, over, point, present, profile, rostral, superior, superior temporal sulcus, temporal, then, three, tip, to, upper, white"
"Comparison of anisotropy in the corpus callosum between young (white bars), nondemented older adults (gray bars) and demented older adults (black bars). (A) Anterior corpus callosum with mean (SEM). (B) Posterior corpus callosum with mean (SEM). (C) Scatterplot of anisotropy in the anterior corpus callosum in nondemented older adults (gray diamonds) and demented older adults (black circles). (D) Scatterplot of anisotropy in the posterior corpus callosum in nondemented older adults (gray diamonds) and demented older adults (black circles). The dashed and black linear regression lines apply, respectively, to the nondemented and demented older adult groups. Numbers indicate bar values with SD in parentheses.";"40";"adult, and, and, and, and, and, anisotropy, anisotropy, anisotropy, anterior, anterior, apply, between, black, black, black, black, corpus callosum, corpus callosum, corpus callosum, corpus callosum, corpus callosum, comparison, regression, white, mean, mean, gray, gray, gray, gray, gray, gray, posterior, posterior, to, white, with, with, with";"18";"adult, and, anisotropy, anterior, apply, between, black, corpus callosum, comparison, regression, white, mean, gray, gray, posterior, to, white, with"
"Diagrams show that (a) in normal aging,Ã-amyloid peptides are produced by brain cells and are soluble, but (b) in abnormal conditions,
these peptides become insoluble and can be
clustered together by chaperone proteins, resulting in the formation of plaques.";"15";"brain, abnormal, aging, and, and, are, are, be, chaperone, can, formation, normal, soluble, together, aging";"13";"brain, abnormal, aging, and, are, be, chaperone, can, formation, normal, soluble, together, aging"
"Examples of ROI demarcation on anisotropy images: (A) anterior corpus callosum; (B) posterior corpus callosum; (C) occipital lobe white matter; (D) frontal lobe white
matter; (E) temporal lobe white matter; and (F) parietal lobe white matter";"27";"temporal lobe, and, anisotropy, anterior, frontal lobe, parietal lobe, corpus callosum, corpus callosum, white matter, white matter, white matter, white, white, white, white, occipital lobe, lobe, lobe, lobe, lobe, parietal, posterior, temporal, white, white, white, white";"15";"temporal lobe, and, anisotropy, anterior, frontal lobe, parietal lobe, corpus callosum, white matter, white, occipital lobe, lobe, parietal, posterior, temporal, white"
"Regions of interest used for plaque counting.
The scale bar represents 500 um.";"4";"scale, for, interest, plaque";"4";"scale, for, interest, plaque"
"Transport of mitochondria into neurites
of differentiated neuroblastoma cells is impaired
by overexpression of tau. Tau40-stable
(aÃc) and mock-transfected N2a cells (dÃf) were
differentiated for 2 d by addition of 1 mM retinoic acid into medium containing 0.1% fetal
calf serum and fixed in methanol. Mitochondria
were visualized with MitoTrackerÂª Green (a and d), immunostaining was done with antibodies
against tubulin (b and e) and tau (c and
f). It can be clearly seen that significantly fewer mitochondria are present in the neurites of taustable cells in contrast to control cells (compare a and d, and Table I). In addition, mitochondria in tau-stable cells appear to be more clustered in the vicinity of the MTOC (a), similar to tau-stable CHO cells. The comparable staining intensity of the cell bodies indicates that the clustering effect is not due to a lower number of mitochondria in the tau-transfected cell. Bar, 10 mm.";"60";"neuroblastoma, neuroblastoma, acid, number, tau, tau, tau, tau, tau, against, and, and, and, and, and, and, and, and, cell, cell, are, be, be, tubulin, cho cells, calf, can, cell, cell, serum, contrast, control, due, due to, effect, for, green, intensity, into, into, lower, lower, medium, medium, present, retinoic acid, stable, stable, stable, staining, table, to, to, to, to, with, with, cell, cell, transport";"38";"neuroblastoma, neuroblastoma, acid, number, tau, against, and, cell, are, be, tubulin, cho cells, calf, can, cell, serum, contrast, control, due, due to, effect, for, green, intensity, into, lower, lower, medium, medium, present, retinoic acid, stable, staining, table, to, with, cell, transport"
"Dictyostelium discoideum (probably AX2) Cell movement 'Random' amoeboid movement. Various shapes (rounded off, flattened) and pseudopodial extensions (lamellipodia, filopodia). Within the cell body vacuoles involved in uptake and extrusion of the surrounding fluid.";"22";"and, and, cell, cell, body, cell movement, cell, cell, extrusion, filopodia, fluid, lamellipodia, movement, movement, off, random, surrounding, uptake, within, cell, cell, cell body";"17";"and, cell, body, cell movement, cell, extrusion, filopodia, fluid, lamellipodia, movement, off, random, surrounding, uptake, within, cell, cell body"
"Dividing cell in metaphase.";"4";"cell, cell, metaphase, cell";"4";"cell, cell, metaphase, cell"
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3C:
Portal tracts with bile duct (BD1) and hepatic artery. Magnifications x1,000.";"20";"human, liver, artery, adult, duct, and, bile, bile duct, reference, reference, biopsy, standard, quantitative, hepatic, hepatic artery, liver biopsy, normal, portal, standard, with";"19";"human, liver, artery, adult, duct, and, bile, bile duct, reference, biopsy, standard, quantitative, hepatic, hepatic artery, liver biopsy, normal, portal, standard, with"
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3D:
Portal tracts with bile duct (BD1) and portal vein. Magnification x1,000.";"20";"human, liver, adult, duct, and, vein, bile, bile duct, reference, reference, biopsy, standard, quantitative, liver biopsy, normal, portal, portal, portal vein, standard, with";"18";"human, liver, adult, duct, and, vein, bile, bile duct, reference, biopsy, standard, quantitative, liver biopsy, normal, portal, portal vein, standard, with"
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

FIigure 3B:
Distribution of CPS mRNA in the livers of an adult, fed mouse.";"15";"gene, liver, gene expression, adult, and, model, development, development, distribution, expression, for, maintenance, model, mouse, gene expression";"15";"gene, liver, gene expression, adult, and, model, development, development, distribution, expression, for, maintenance, model, mouse, gene expression"
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 3A:
Distribution of GS mRNA in the livers of fed mice. Distribution of GS mRNA in serial liver sections of an adult, fed mouse. CPS mRNA levels are increased 2.1-fold.";"18";"gene, liver, liver, gene expression, adult, and, are, model, development, development, distribution, distribution, expression, for, maintenance, model, mouse, gene expression";"16";"gene, liver, gene expression, adult, and, are, model, development, development, distribution, expression, for, maintenance, model, mouse, gene expression"
"Evolution of amyloid deposits in AD. From the analysis of the presence of amyloid in
brains obtained at autopsy three stages can be distinguished in the gradual development of
cortical amyloid deposition in AD. Courtesy of Dr Heikki Braak, Department of Pathology,
Frankfurt University, Frankfurt, Germany";"14";"analysis, at, autopsy, be, pathology, development, can, department, development, evolution, from, germany, three, university";"14";"analysis, at, autopsy, be, pathology, development, can, department, development, evolution, from, germany, three, university"
"Specific and displaceable PIB binding occurs in the cortex of postmortem Alzheimerâs disease (AD) brain, but not in white matter or control brain cortex. Autoradiograms showing the binding of PIB to fresh-frozen, post-mortem control (A, B) and AD brain sections (C, D). All sections were incubated with 10nM PIB. Excess nonradioactive BTA-1(10ÂµM) was added in B and D to demonstrate displaceable binding. Arrows indicate the location of white matter and cortex (gray
matter area is circled in A, C). Cortex is barely visible on control sections because of lack of binding.";"40";"disease, brain, brain, brain, added, location, all, and, and, and, and, area, binding, binding, binding, binding, white matter, white matter, control, control, control, white, white, fresh, gray, gray, incubated, or, post, postmortem, to, to, visible, white, white, with, binding, binding, binding, binding";"23";"disease, brain, added, location, all, and, area, binding, white matter, control, white, fresh, gray, gray, incubated, or, post, postmortem, to, visible, white, with, binding"
